english,chinese,symbol,phrase,similar
because,因为,,,
become,变成,,,
bed,床,,,
bedroom,卧室,,,
beef,牛肉,,,
before,在...之前，以前,,,
begin,开始,,,
behind,在...后面,,,
believe,相信,,,
bell,种，铃,,,
beside,在...旁边,,,
bet,打赌,,,
between,在...之间,,,
big,大的,,,
bike,自行车,,,
bird,鸟,,,
birthday,生日,,,
bite,咬,,,
blackboard,黑板,,,
blanket,毯子,,,
blind,瞎的，失明的,,,
blood,血液,,,
blow,吹,,,
board,木板，上车/船,,,
boat,小船，划船,,,
book,书,,,
bored,感到厌烦的,,,
boring,令人厌烦的,,,
born,天生的,,,
borrow,借,,,
both,两个，两者，两者都,,,
bottle,瓶子,,,
bottom,底部,,,
bowl,碗,,,
box,盒子，箱子,,,
boy,男孩,,,
