english,chinese,symbol,phrase,similar
colour,"n.<英>(=color)颜色,气色,风格,外貌vt.把...涂颜色,粉饰,脸红,歪曲vi.变色",`kʌlɚ,,
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索",,,
come,"vi.来,来临,到达,出现,来(自),出生(于),开始int.嗨! vbl.来,到达,合计为",,,
comfortable,adj.舒适的,`kʌmfɚtəbl,,
computer,"n.计算机,电脑",kəm`pjutɚ,,
concert,"n.音乐会,一致","`kɑnsʒt,_sɚt",,
cook,"n.厨师v.烹调,煮,伪造",,,
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定",,,
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭",`kɑpɪ,,
corner,"n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)",`kɔrnɚ,,
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒",kə`rɛkt,,
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费",kɔst,,
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵",,,
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的",`kʌntrɪ,,
countryside,"n.乡下地方,乡下居民",`kʌntrɪˌsaɪd,,
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替",`kʌvɚ,,
crayon,"n.有色粉笔,蜡笔,粉笔画",`kreən,,
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获",krɑp,,
cross,"n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交",krɔs,cross the street,
cry,"vi.哭,流泪v.叫,喊n.哭泣,哭声,叫喊,喊声",kraɪ,,
culture,"n.文化,文明",`kʌltʃɚ,Chinese culture,
cup,"n.杯子,酒杯,奖杯vt.使成杯状,为...拔火罐",,,
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口",,,
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的",,,
dance,"n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬",dæns,,
danger,"n.危险,危险物,威胁",`dendʒɚ,in danger: 处于危险中,
dangerous,adj.危险的,"`dendʒərəs,_dʒrəs",Tigers are dangerous,
dark,"n.黑暗,夜,黄昏,暗色,无知,模糊adj.黑暗的,暗的,(头发、皮肤等)黑色的,隐秘的,无知的,隐晦的,模糊的",dɑrk,,
date,"n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时 [计] 显示或设置系统日期",det,,
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子",de,,
dead,"adj.死的,无感觉的,呆板的,不流动的,(语言、习惯)废弃了的,熄灭的n.死者adv.完全地,绝对的,突然的",dɛd,,
deaf,adj.聋的,dɛf,,
dear,"adj.昂贵的,亲爱的int.[表示惊讶,怜悯等],Oh,～!",dɪr,,
decide,"v.决定,判决",dɪ`saɪd,decide to do sth.,
deep,"adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处",dip,The water is deep,
