english,chinese,symbol,phrase,similar
password,"n.密码,口令",,,
past,"n.过去,往时adj.过去的,结束的 prep.越过,晚于 vbl.pass的过去分词",pæst,,
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算",pe,,
peace,"n.和平,和睦,安宁,静寂vi.安静下来",pis,,
peanut,n.花生,`piˌnʌt,,
pearl,n.珍珠 Pearl 珀尔(女子名),pʒl,,
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中",pɛn,,
pencil,n.铅笔,`pɛnsl,,
people,"n.人,人们,民族,人类,公民vt.使住(满)人",`pipl,,
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练",`pʒfɪkt,,
person,"n.人,身体,容貌,[语法]人称",`pʒsn,,
pet,"n.宠物,受宠爱的人,不悦adj.宠爱的,亲昵的vt.宠爱vi.拥抱,爱抚,生气,发脾气",pɛt,,
phone,"n.电话,电话机v.(给...)打电话",,,
photo,n.照片,,,
piano,n.钢琴,pɪ`æno,,
pick,"n.精选,掘,鹤嘴锄vt.摘,掘,凿,挑选,挖,挑剔vi.摘,掘,凿,挖,挑选v.拾取",pɪk,,
picnic,n.野餐vi.(去)野餐,`pɪknɪk,,
picture,"n.画,图画,照片,像,美景,描述,相似物,化身vt.画,描绘",`pɪktʃɚ,,
pie,"n.馅饼,杂乱,喜鹊,爱说话的人vt.弄乱",paɪ,,
piece,"n.块,件,片,篇,张,条,硬币vt.接合,修补,凑合",pis,,
pig,"n.猪,猪肉,贪婪的人v.生小猪,贪婪地吃",pɪg,,
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶",`paɪlət,,
pity,"v.(觉得)可怜n.憾事,怜悯,同情",`pɪtɪ,,
pizza,n.比萨饼(一种涂有乳酪核番茄酱的意大利式有馅烘饼),,,
place,"n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前",ples,,
plan,"n.计划,设计图,平面图vt.计划,设计",plæn,,
plane,"n.平面,飞机,水平,程度,刨adj.平的,平面的v.刨,刨平",plen,,
planet,n.[天]行星,`plænɪt,,
plant,"n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植",plænt,,
plate,"n.盘子,金属板,图版,金银餐具vt.镀(金,银等),电镀,给...装钢板",plet,,
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放",ple,,
player,"n.做游戏的人,比赛者,演员,演奏者,表演者",`pleɚ,,
playground,"n.运动场,操场",`pleˌgraʊnd,,
please,"adj.满足的vt.请v.使喜欢,中...的意,使满足,取悦",pliz,,
pleased,"adj.高兴的,满足的",plizd,,
