english,chinese,symbol,phrase,similar
a/an,一（个）,,,
able,"adj.能...的,有才能的,能干的,能够的",_əbl,,
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于",ə`baʊt,,
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出",ə`bʌv,,
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",ə`brɔd,,
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边",ə`krɔs,across from: 在...对面; across: 从一端到另一端,through: 通过，从物体内部空间穿过
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作",ækt,act in a play,
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子",`æktɪv,,
actor,"n.男演员,行动者,参与者",`æktɚ,,
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法",æd,,
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于","ə`drɛs,`ædrɛs",,
advice,"n.忠告,建议,[商]通知",əd`vaɪs,advice on: 有关...的建议,
afford,"vt.提供,给予,供应得起,","ə`ford,ə`fɔrd",,
afraid,"adj.害怕,担心",ə`fred,be afraid of st.; be afraid to do st.,
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的",`æftɚ,after class,
afternoon,"n.午后,下午adv.下午的,晚期",ˌæftɚ`nun,,
again,"adv.又,再次,此外,再一次",ə`gɛn,again and again: 一再,
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟",edʒ,at the age of: 在...岁时,
ago,"adv.以前的,以往的",ə`go,an hour ago; a week ago,
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意",ə`gri,agree with: 同意,
ahead,"adj.adv.在前,向前,提前,在前面",ə`hɛd,ahead of,
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示","ɛr,ær",by air: 乘飞机,
airport,"n.<主美>小型民用机场,私人飞机降落场","`ɛrˌport,-ˌpɔrt",,
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部",ɔl,,
almost,"adv.几乎,差不多","ɔl`most,`ɔlˌmost",,
along,"adv.往前,向前 prep.顺着,沿着",ə`lɔŋ,get along with: 与...相处,
already,adv.已经,ɔl`rɛdɪ,,
also,"adv.也,同样",`ɔlso,,
always,"adv.总是,永远,始终","`ɔlwɪz,_wəz,_wez",,
and," conj.和,及,并,然后,接着又 /conj.及(或)",,,
angry,"adj.生气的,愤怒的,狂暴的(风雨等)",`æŋgrɪ,,
animal,n.动物,`ænəml,,
another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西",ə`nʌðɚ,one another: 彼此，相互,
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应",`ænsɚ,answer the phone,
any,"adj.任何的,任何一种,所有的 pron.无论那一个,任何",`ɛnɪ,,
