english,chinese,symbol,phrase,similar
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷",kev,,
celebrate,"v.庆祝,祝贺,表扬,赞美,举行",`sɛləˌbret,,
centre,"n.中心,中央,中心区v.集中",`sɛntɚ,,
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机",`sɛntrəl,,
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的",tʃæns,,
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换",tʃendʒ,,
cheap,"adj.便宜的,不值钱的",tʃip,,
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军",tʃɛk,,
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼",tʃɪr,,
chess,n.国际象棋,tʃɛs,,
child,"n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者",tʃaɪld,,
children,"n.(pl.)孩子,孩子们",`tʃɪldrən,,
choose,"v.选择,选定",,,
chopstick,筷子,,,
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜",tʃʒtʃ,go to church,
cinema,"n.电影院,电影",`sɪnəmə,,
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋",`sʒkl,,
city,"n.城市,都市,全体居民,城邦",`sɪtɪ,,
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)",,,
classmate,n.同班同学,`klæsˌmet,,
classroom,n.教室,`klæsˌrum,,
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫",klin,,
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得",klɪr,,
clever,"adj.机灵的,聪明的",`klɛvɚ,,
climb,"v.攀登,爬n.攀登,爬",klaɪm,,
clock,n.时钟,klɑk,,
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地",,,
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑",,,
cloud,"n.云,烟云,(pl.)天空,污点vt.以云遮敝,玷污,使黯然vi.乌云密布,阴沉",,,
cloudy,"adj.多云的,阴天的,阴沉",`klaʊdɪ,,
club,"n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用",,,
coach,"n.四轮大马车,长途汽车,教练v.训练,指导",,,
coal,n.煤v.加煤,,,
coin,n.硬币vt.铸造(硬币),kɔɪn,,
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的",,,
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地",kə`lɛkt,,
