english,chinese,symbol,phrase,similar
valley,"n.(山)谷,流域",`vælɪ,,
van,,,,
vase,"n.花瓶,瓶","ves,vez,vɑz",,
vegetable,"n.蔬菜,植物,生活呆板单调的人adj.蔬菜的,植物的","`vɛdʒtəbl,`vɛdʒə_",,
very,"adv.很,甚,及其,非常,完全adj.真正的,真实的,恰好的,绝对的,十足的,特别的",`vɛrɪ,,
vest,"n.汗衫,背心,内衣vt.使穿衣服,授予vi.穿衣服,归属",vɛst,,
video,"n.电视,录象,视频",`vɪdɪˌo,,
village,"n.乡村,村庄adj.村庄的",`vɪlɪdʒ,,
violin,"n.小提琴,小提琴手",ˌvaɪə`lɪn,,
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈",`vɪzɪt,,
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露",vɔɪs,,
wait,"v.(～ for)等待,等候n.等待,等待时间",wet,,
waiter,"n.侍者,服务员",`wetɚ,,
wake,"vt.叫醒,激发vi.醒来,醒着,警觉,振奋n.醒,守夜,尾迹,(人,车等经过的)痕迹,守丧",wek,,
walk,"vi.步,行,走n.步行,散步,步,行道",wɔk,,
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙",wɔl,,
wallet,"n.皮夹,钱夹,钓鱼带","`wɑlɪt,`wɔl_",,
want,"vt.想要,希望,需要,短缺,缺少n.需要,短缺","wɑnt,wɔnt",,
war,"n.战争vi.作战,打仗",wɔr,,
warm,"adj.暖和的,暖的,温暖的,色情的,激烈的,热烈的,多情的,兴奋的adv.(常用以构成复合词)暖和地vt.使温暖,弄热,使兴奋,使热烈vi.变暖和,变温暖,激动,同情,爱好n.暖,保暖物",wɔrm,,
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的","wɑʃ,wɔʃ",,
washroom,"n.盥洗室,<美>厕所",,,
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗",west,,
watch,"n.注视,注意,手表,看守,守护,监视,值班人vt.看,注视,照顾,监视,警戒,守护,看守vi.观看,注视,守侯adj.手表的,挂表的","wɑtʃ,wɔtʃ",,
water,"n.水,雨水,海水,水位,水面,流体vt.喷淋,供以水,注入水,使湿vi.流泪,加水adj.水的,水上的,水生的,含水的","`wɔtɚ,`wɑtɚ",,
waterfall,"n.瀑布,瀑布似的东西",`wɔtɚˌfɔl,,
wave,"n.波,波浪,(挥手)示意,致意vi.(挥手)示意,致意,波动,飘动,摇动",wev,,
way,"n.路,路线,路途,习惯,行业,规模,道路,情形adj.中途,途中的adv.远远地,大大地,非常",we,,
weak,"adj.不牢固的,弱的,虚弱的,软弱的,淡的,疲软的,无力的,不耐用的",wik,,
wear,"vt.穿,戴v.(～ out) 磨损,用旧,(～ out) 穿着",wɛr,,
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨",`wɛðɚ,,
website,WWW(环球网)的站点,,,
week,"n.星期,周",wik,,
weekend,"n.周末,周末休假adj.周末的vi.度周末的",`wik`ɛnd,,
weight,"n.重力,重量,分量,砝码,重要(性),势力,负担,重累",wet,,
welcome,n.欢迎vt.欢迎int.欢迎adj.受欢迎的,`wɛlkəm,,
well,"n.井vi.涌出adj.健康的,良好的,适当的adv.好,满意地,充分地,彻底地,有理地,适当地,夸奖地int.唔,咳",wɛl,,
wet,"adj.湿的,潮湿的,有雨的,多雨的vt.弄湿",wɛt,,
whale,n.鲸v.捕鲸,"hwel,wel",,
