english,chinese,symbol,phrase,similar
wheel,"n.轮,车轮,轮子","hwil,wil",,
while,"n.一会儿,时间 conj.当...的时候,虽然vt.消磨 prep.<古><方>直到","hwaɪl,waɪl",,
whole,"n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个",,,
wide,"adj.宽的,广阔的,张大的,远离目标的adv.广阔地,广大地,远离目标地",waɪd,,
wife,n.妻子,waɪf,,
wild,"adj.野性的,野生的,野蛮的,狂热的,疯狂的",waɪld,,
will,"n.意志,决心,意向,遗嘱v.aux.将,愿意,必须",wɪl,,
win,"v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利",wɪn,,
wind,"n.风v.绕,缠,上发条,旋紧",waɪnd,,
window,"n.窗,窗口",`wɪndo,,
windy,"adj.有风的,刮风的,多风的,风强的,腹胀的,吹牛的",`wɪndɪ,,
wing,"n.翅,翅膀,翼,飞翔,机翼,派别vt.装以翼,飞过,使飞,空运,增加...速度vi.飞,飞行",wɪŋ,,
winter,"n.冬,冬季,萧条期,衰退期adj.冬天的vt.对...进行冬天保护vi.过冬",`wɪntɚ,,
wish,"n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺",wɪʃ,,
wise,"adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式",waɪz,,
with," prep.有,以,用,同...,由于,和...一致,赞成,关于,就","wɪð,wɪθ",,
without," prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外","wɪð`aʊt,wɪθ",,
wolf,"n.狼,残忍贪婪之人,极度的穷困vt.狼吞虎咽,大吃vi.猎狼",,,
woman,"n.女人,妇女,女仆adj.女人的,女性的,妇女的vt.为...配备妇女,使成女人腔",`wʊmən,,
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的",`wʌndɚ,,
wonderful,"adj.令人惊奇的,奇妙的,极好的,令人愉快的",`wʌndɚfəl,,
word,"n.字,词,话,消息,诺言,命令vt.为...措辞",wʒd,,
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制",wʒk,,
worker,n.工人,`wʒkɚ,,
world,"n.世界,...界,世事,世故,社会adj.世界的",wʒld,,
worry,"n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进",`wʒi,,
worry,"n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进",`wʒi,,
would,"v.aux.will的过去式,将,愿意",,,
write,"vt.书写,著述,写,写满,写信给vi.写,写字,写信,写作,作曲",raɪt,,
year,"n.年,年龄,年岁",jɪr,,
yes,adv.n.是,jɛs,,
yesterday,n.昨天adv.昨天,"`jɛstɚdɪ,-ˌde",,
yet,"adv.仍,至今,益发,更 conj.然而,但是",jɛt,,
young,"adj.年轻的,年纪小的,没有经验的,尚早的,初期的n.(动物的)崽,仔",,,
yummy,n.美味,`jʌmɪ,,
zoo,n.动物园,,,
