english,chinese,symbol,phrase,similar
much,"adj.许多的,大量的adv.非常,很,...多,更加,非常,得多,多达,多得多n.许多,大量 num.许多",,,
museum,n.博物馆,"mju`ziəm,`mjuzɪəm",,
music,"n.音乐,乐曲",`mjuzɪk,,
must," aux.必须,应当,很可能,一定,必须,肯定,可以",,,
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的",nem,,
national,"adj.国家的,国立[有]的,民族的",`næʃənl,,
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类",`netʃɚ,,
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的",`nɔtɪ,,
near,"adj.亲近的,亲密的,近,(车,马等)左侧的,吝啬的adv.(时间,空间方面)近,不远 prep.在...近旁,近...v.接近,走近",nɪr,,
nearby,"adj.附近的,邻近的adv.在附近",`nɪrˌbaɪ,,
need,"n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须",nid,,
neighbour,n.邻居(美作:neighbor),`nebɚ,,
neither,"adj.pron.两者都不 conj.既不...又不,也不",`niðɚ,,
nervous,"adj.神经紧张的,不安的,强健有力的",`nʒvəs,,
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入",nɛst,,
never,"adv.决不,从未",`nɛvɚ,,
new,"adj.新的,初见的,更新的adv.新近",,,
news,"n.新闻,消息",,,
newspaper,n.报纸,"`nuzˌpepɚ,`nus_,`nju_",,
next,"n.adj.下次的,其次的,与...连接,下一个adv.下一次,其次",nɛkst,,
nice,"adj.美好的,和蔼的,正派的,细微的,挑剔的,精密的,拘泥的",naɪs,,
no,"n.否定,投反对票者adj.没有,不许,反对adv.不,并不,毫不 [域] Norway ,挪威",,,
nobody," pron.谁也不,无人,任何人,没有任何人","`noˌbɑdɪ,`nobədɪ",,
noise,"n.喧闹声,噪声,噪音",nɔɪz,,
noisy,"adj.吵杂的,聒噪的",`nɔɪzɪ,,
noodle,"n.面条(常用复数),笨蛋,傻瓜",,,
nose,"n.鼻,(飞机、船等的)前端v.侦察出",,,
not,adv.不,,,
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记",,,
notebook,"n.笔记簿,笔记本",,,
nothing,"n.无,不关紧要之事,[数]零adv.毫不,决不int.什么也没有,无",`nʌθɪŋ,,
now,"adv.现在,目前,此刻,立刻,马上n.现在,如今 conj.既然",,,
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入",`nʌmbɚ,,
nurse,"n.护士,保姆vt.护理,看护v.照料",nʒs,,
nut,"n.坚果,螺母,螺帽,难解的问题",,,
