english,chinese,symbol,phrase,similar
either,"adj.任一的,(两方中的)每一方的 pron.任一,随便任一个 conj.或者,也","`iðɚ,`aɪðɚ",,
else,"adj.别的,其他的adv.另外,其他",ɛls,,
email,n.电子信函,,,
end,"n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止",ɛnd,,
enjoy,"vt.享受...的乐趣,欣赏,喜爱v.满意",ɪn`dʒɔɪ,,
enough,"adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!","ə`nʌf,ɪ`nʌf",,
enter,"vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车",`ɛntɚ,,
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入",`ɛntrɪ,,
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验",`ivən,,
ever,"adv.曾经,永远,不断地,在任何时候,究竟",`ɛvɚ,,
every,"adj.每一的,每个的,全部的,每隔...的","`ɛvrɪ,`ɛvərɪ",,
everywhere,"adv.各处,到处",`ɛvrɪˌhwɛr,,
example,"n.例子,实例,例题,范例,榜样,鉴戒,实例",ɪg`zæmpl,for example,
exellent,杰出的,,,
excited, 兴奋的,ɪk`saɪtɪd,,
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去",ɪk`skjuz,,
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰",`ɛksɚˌsaɪz,,
explain,"v.解释,说明",ɪk`splen,,
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据",fækt,,
factory,"n.工厂,制造厂,商住花园外的代理","`fæktrɪ,`fæktərɪ",,
fail,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者",fel,,
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴",fer,,
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的",fɔl,,
family,"n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的","`fæmlɪ,`fæməlɪ",,
famous,"adj.著名的,出名的,<口>极好的,令人满意的",`feməs,,
fan,"n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开",fæn,,
far,"adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方",fɑr,,
fare,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活",fɛr,,
farm,"n.农场,农庄,农田vt.耕种vi.种田,务农,经营农场,从事畜牧",fɑrm,,
farmer,"n.农夫,百姓,农民,农场主,承包主,牧场主,畜牧者",`fɑrmɚ,,
fashion,"n.样子,方式,流行,风尚,时样vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变",`fæʃən,,
fast,"adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒",fæst,,
fat,"n.脂肪,肥肉;adj.肥大的,丰满的,肥的,胖的,油腻的;vt.养肥,在...中加入脂肪;vi.长肥;File Allocation Table,文件分配表",fæt,,
favourite,"adj.特别喜爱的,中意的n.特别喜爱的(或物)","`fevrɪt,`fevərɪt",,
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入",fid,,
