english,chinese,symbol,phrase,similar
sea,"n.海洋,大浪,大量,许多",si,,
seafood,"n.海产食品,海味",,,
search,"n.搜寻,查究v.搜索,搜寻,探求,调查",sʒtʃ,,
season,"n.季,季节v.(使)适应,(使)适用,调味",`sizn,,
seat,"n.座,座位,所在地,场所,席位vt.使坐下",sit,,
secret,"n.秘密,秘诀,奥秘adj.秘密的,隐秘的,幽静的、",`sikrɪt,,
secretary,"n.秘书,书记,部长,大臣",`sɛkrəˌtɛrɪ,,
see,"v.看,看见,了解,领会,注意,留心,经历,阅历",si,,
seed,"n.种子,萌芽,原由,根据,子孙,精液vt.播种,结实,成熟,去...籽vi.结实,播种",sid,,
seek,"v.寻找,探索,寻求",sik,,
sell,"v.出售,卖",sɛl,,
send,"vt.送,寄,发送,派遣,打发",sɛnd,,
sentence,"n.句子,判决,宣判,文句vt.宜判,判决",`sɛntəns,,
serious,"adj.严肃的,认真的,严重的",`sɪrɪəs,,
set,"v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议",sɛt,,
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动",ʃek,,
shall,"v.aux.将,会",,,
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长",ʃep,,
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享","ʃɛr,ʃær",,
sheep,"n.羊,绵羊,羞答答的人,胆小鬼,信徒",ʃip,,
shelf,"n.架子,搁板",ʃɛlf,,
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置",ʃɛl,,
shine,"v.照耀,发光vt.擦亮n.光泽,光亮",ʃaɪn,,
ship,"n.船,海船,舰v.装上船,航运,载运,在船上工作",ʃɪp,,
shirt,"n.衬衫,衬衣",ʃʒt,,
shoe,"n.鞋,鞋子v.穿...鞋",,,
shoot,"n.射击,发射,摄影,急流vt.射击,投射,伸出,拍摄,用完,挥出,给...注射,使爆炸vi.射出,射击,发出,发芽,射门,拍电影",,,
shop,"n.商店,店铺vi.买东西,购货",ʃɑp,,
shopping,"n.买东西,购物",`ʃɑpɪŋ,,
short,"n.简略,短路,短裤adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短adv.突然,缺乏,不足",ʃɔrt,,
shorts,n.短裤,ʃɔrts,,
should,"v.aux.应该,将要",,,
shoulder,"n.肩,肩部,侧翼vt.肩负,承当",`ʃoldɚ,,
shout,"v.呼喊,呼叫n.呼喊,呼叫",,,
show,"n.表示,展览,炫耀,外观,假装v.出示,指示,引导,说明,显示,展出,放映",,,
