english,chinese,symbol,phrase,similar
fruit,"n.水果,果实,果类,成果vi.结果实",,,
full,"n.全部,完整adj.充满的,完全的,丰富的,完美的,详尽的,丰满的adv.完全地,整整,十分vt.把衣服缝得宽大",,,
fun,"n.娱乐,玩笑,嬉笑,有趣的人或事物vi.开玩笑adj.供娱乐用的",,,
funny,"adj.有趣的,好笑的,滑稽的,奇异的,古怪的n.滑稽人物",`fʌnɪ,,
future,"n.未来,将来,前途,远景adj.未来的,将来的",`fjutʃɚ,,
game,"n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的",gem,,
garden,"n.(菜、花)园,花园",`gɑrdn,,
gas,,,,
gate,n.大门,get,,
gentleman,"n.阁下,先生,有身分的人,绅士,[pl.] 男厕所,男盥洗室",`dʒɛntlmən,,
get,"vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽",gɛt,,
gift,"n.赠品,礼物,天赋,才能",gɪft,,
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步",gɪv,,
glad,"adj.高兴的,乐意的,感到高兴的",glæd,,
glass,"n.玻璃,玻璃制品,玻璃杯,镜子,眼镜,望远镜,气压计,晴雨表vt.装玻璃于,反映vi.成玻璃状",glæs,,
glow,"vi.发光,发热",,,
glue,"n.胶,胶水vt.胶合,粘贴,粘合",,,
go,"vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行",,,
goal,"n.目的,目标,守门员,球门,(球赛等的)得分",,,
gold,"n.黄金,金币adj.金的,金制的",,,
golf,n.高尔夫球vi.打高尔夫球,"gɑlf,gɔlf",,
good,"n.好,好事,慷慨的行为,好处,利益adj.优良的,上等的,虔诚的,愉快的,慈善的,好心的,有益的",,,
grade,"n.等级,级别vt.评分,评级v.分等级",gred,,
grass,n.草,græs,,
great,"adj.伟大的,大的,强烈的,非常的,主要的,大写的,重大的,崇高的adv.顺利地,得意地n.全部,大人物,大师",gret,,
greet,"vt.问候,向...致意,获悉(消息),映入眼帘",grit,,
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式",,,
group,"n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群",,,
grow,"vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育",,,
guess,"vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测",gɛs,,
guest,"n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿",gɛst,,
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导",gaɪd,,
guy,"n.家伙,人 Guy 盖伊(男子名)",gaɪ,,
gym," gymnasium 体育;n.体育馆,体操",dʒɪm,,
habit,"n.习惯,习性",`hæbɪt,,
