english,chinese,symbol,phrase,similar
market,"n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖",`mɑrkɪt,,
marry,"vt.娶,嫁,和...结婚",`mærɪ,,
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会",mæsk,,
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配",mætʃ,,
maths,n.数学,mæθs,,
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧",`mætɚ,,
maybe,"adv.大概,或许n.疑虑","`mebi,_bɪ",,
meal,"n.一餐,一顿饭,膳食,(谷类的)粗粉vi.进餐",mil,,
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸",min,,
meat,"n.(食用)肉,肉类",mit,,
meet,"n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触",mit,,
meeting,"n.会议,集会,会见,会战,汇合点",`mitɪŋ,,
member,"n.成员,会员,议员,(人或动,植物的)一部分,[语]子句,成分,[逻]推论的命题",`mɛmbɚ,,
menu,n.菜单,"`mɛnju,`men_,`mɛnu",,
merry,"adj.欢乐的,愉快的",`mɛrɪ,,
mess,"n.混乱,脏乱v.弄乱",mɛs,,
message,"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息",`mɛsɪdʒ,,
might,"v.(past tense,past participle of may see may)n.力量,威力,权力,能,可能 aux.可以",maɪt,,
milk,"n.乳,牛奶v.挤(奶)",mɪlk,,
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意",maɪnd,,
minus,"adj.负的,减的 prep.减去n.负数",`maɪnəs,,
miss,"n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中",mɪs,,
mistake,,,,
mobile,"adj.可移动的,易变的,机动的n.运动物体","`mobl,`mobil",,
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟",`mɑdl,,
money,"n.货币,钱,金钱",`mʌnɪ,,
month,n.月,,,
moon,"n.月球,月亮,卫星",,,
more,"adj.更多的n.更多adv.更,更多,更加,超过,多,大大高于 num.更多","mor,mɔr",,
most,"adj.最多的,多数的,大部分的adv.最,最多,很,十分,最,最大的,其中大多数,极其n.大多数,大部分",,,
motorbike,n.摩托车,,,
montain,,,,
mouse,"n.鼠,耗子v.搜寻",,,
move,"n.移动,迁居,步骤vt.移动,感动,鼓动vi.移动,离开,运行,迁移,搬家",,,
movie,n.电影,`muvɪ,,
