english,chinese,symbol,phrase,similar
theatre,n.=theater,`θiətɚ,,
then,"adv.当时,在那时,那么,因而,然后,于是",ðɛn,,
there,adv.在那里,ðɛr,,
these,adj.pron.这些,ðiz,,
thick,"adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份",θɪk,,
thief,"n.小偷,贼",θif,,
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分",θɪn,,
thing,"n.东西,物,[pl.] 所有物,用品,事,事情,事件,[pl.] 事态",θɪŋ,,
think,"v.想,思索,认为vt.认为,以为,预料",θɪŋk,,
thirsty,"adj.口渴的,渴望的,热望的",`θʒstɪ,,
this,"adj.这,这个,今,本 pron.这,这个",ðɪs,,
those,adj.pron.那些,,,
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的",,,
throw,"n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷",,,
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声",tɪk,,
ticket,"n.票,入场券",`tɪkɪt,,
tidy,"n.椅子的背罩,装杂碎的容器adj.整齐的,整洁的,精简的vt.弄整齐,收拾,整理vi.整理,收拾adj.<口>可观的、相当大的",`taɪdɪ,,
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负",taɪ,,
till," prep.直到,在...以前,迄 conj.在...以前,直到...为止vt.耕种n.(商店)铁柜,放钱的抽屉,备用现金,冰渍","tɪl,tl",,
time,"n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的 /n.时间/日期",taɪm,,
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的",tɪn,,
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧",tɪp,,
to," prep.向,往,给...,于...,直到...为止,在...之前,比,对,[表示程度、范围] 到,达 [域] Tonga ,汤加",,,
today,"adv.今天,现今n.今天,现今",tə`de,,
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表",,,
together,"adv.共同,一起,合起来,集拢地",tə`gɛðɚ,,
toilet,"n.盥洗室,梳洗",`tɔɪlɪt,,
tomato,"n.番茄,西红柿",tə`meto,,
tomorrow,"adv.明天见n.明天,未来","tə`mɔro,_`mɑr_",,
tongue,"n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器",,,
tonight,"adv.今晚,今夜n.今晚",tə`naɪt,,
too,"adv.也,太过份",,,
tooth,n.牙齿,,,
toothache,n.牙痛,,,
top,"n.顶部,顶端,极点,顶蓬,陀螺,(常用复数)根菜植物的叶子,上部,盖子adj.最高的,顶上的,头等的vt.盖,戴,高耸,达到顶端,截去(植物)顶端,高过,超越vi.结束,完成,胜过",tɑp,,
topic,"n.话题,主题",`tɑpɪk,,
