english,chinese,symbol,phrase,similar
anywhere,adv.无论何处,"`ɛnɪˌhwɛr,-ˌwɛr",,
appear,"vi.出现,看来,似乎,公开露面,出版,发表",ə`pɪr,,
army,"n.陆军,军队,大群,大军",`ɑrmɪ,,
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处",ə`raʊnd,,
arrive,"vi.到达,抵达",ə`raɪv,arrive at; arrive in,
art,"n.艺术,艺术品,技术,巧妙,美术",ɑrt,,
artist,"n.艺术家,画家",`ɑrtɪst,,
as,"adv.同样地,被看作,象 prep.当做 conj.与...一样,当...之时,象,因为 [域] American Samoa,东萨摩亚 [军] Air to Surface,空对地 (As)symb [化]砷 (arsenic)",,,
ask,"vi.询问,问,要求vt.问,要求,需要,邀请",æsk,ask for; ask the way; ask ... for help,
at," prep.在,于,向,对准,在...方面;Austria,奥地利",,at once: 立刻,
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意",ə`tɛnd,,
attention,"n.注意,关心,关注,注意力,(口令)立正!",ə`tɛnʃən,pay attention to,
aunt,"n.姑妈,伯母,舅妈,阿姨",ænt,,
autumn,"n.秋天,成熟期,渐衰期",`ɔtəm,,
away,"adv.在远处,到远处,离去",ə`we,"go away, get away",
baby,n.婴孩,`bebɪ,,
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持",bæk,,
bad,"adj.劣质的,有害的,坏的,不利的,不健康的,严重的",bæd,,
bag,"n.袋子,猎获物",bæg,,
bake,"v.烘焙,烤,烧硬",bek,,
ball,"n.球,球状物,子弹,舞会,尽情地玩",bɔl,,
balloon,n.气球,bə`lun,,
bamboo,n.竹子,bæm`bu,,
banana,n.香蕉,bə`nænə,,
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯",bæŋk,,
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图",bɑr,,
baseball,"n.棒球,棒球运动",`besˌbɔl,,
basket,"n.篮,一篮",`bæskɪt,,
basketball,"n.篮球,篮球运动",,,
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练",bæt,,
bath,"n.沐浴,浴室",bæθ,,
bathroom,"n.浴室,盥洗室","`bæθˌrum,_rʊm",,
be," prep.是,在,存在 [域] Belgium ,比利时 [军] Base Ejection,弹底喷射 symb [化]铍 Be(beryllium)",,,
beach,n.海滩,bitʃ,,
beautiful,"adj.美丽的,很好的",`bjutəfəl,,
