english,chinese,symbol,phrase,similar
life,"n.生命,生活,一生,寿命,生命力,传记",laɪf,,
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立",lɪft,,
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮",laɪt,,
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能",laɪk,,
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队",laɪn,,
lion,"n.狮子,(剽悍的人)社交场合的名流",`laɪən,,
list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上",lɪst,,
listen,"vi.听,听从v.听,收听",`lɪsn,,
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾",`lɪtɚ,,
little,"n.少许,一会儿,短时间adj.很少的,矮小的,短暂的,琐碎的adv.很少,稍微,完全不",`lɪtl,,
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地",lɪv,,
lock,"n.锁v.锁,锁上,锁住 /n.锁定/解锁",lɑk,,
long,"adj.长的,长期的,做多头的,高的vi.渴望,热望adv.长期地,始终n.长时间,(市场上)做多头的人,[语音]长音节",lɔŋ,,
look,"n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待",,,
lose,"vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败",,,
lot,"n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄",lɑt,,
loud,"adj.高声的,不断的,喧吵的adv.高声地,大声地",,,
love,"n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱",,,
lovely,"adj.可爱的,有趣的",`lʌvlɪ,,
low,"n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫",,,
luck,"n.运气,好运,幸运",,,
lucky,"adj.幸运的,吉祥的,侥幸的",`lʌkɪ,,
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工",mə`ʃin,,
mad,"adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒",mæd,,
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒","`mægəˌzin,ˌmægə`zin",,
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的",`mædʒɪk,,
mail,"n.邮件,邮政,盔甲vt.邮寄,给...穿盔甲",mel,,
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情",mek,,
mall,"n.购物商场,商业街,林荫路",mɔl,,
man,"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网",mæn,,
manager,"n.经理,管理人员,管理器",`mænɪdʒɚ,,
many,"n.多数,群众adj.许多的 pron.许多人,许多",`mɛnɪ,,
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等",mæp,,
maple,"n.[植]枫,枫木,淡棕色",`mepl,,
mark,"n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号 Mark 马克(男子名)",mɑrk,,
