english,chinese,symbol,phrase,similar
pupil,"n.学生,小学生,瞳孔",`pjupl,,
puppy,"n.(常指未满一岁的)小狗,小动物,自负的青年",`pʌpɪ,,
push,"n.推,推动,奋发,干劲,进取心,攻击vt.推,推动,推行,逼迫,增加vi.推,推进,增加,努力争取",,,
put,"vt.放,摆,安置,表达,迫使,移动,提出,赋予vi.出发,航行,发芽,击n.掷,投击,笨蛋,怪人 vbl.put的过去式和过去分词adj.固定不动的",,,
quarter,"n.四分之一,[常 pl.] 方向,地区,方面,季,季度,一刻钟 num.四分之一,刻",`kwɔrtɚ,,
queen,"n.王后,女王",kwin,,
question,"n.问题,疑问,询问v.询问,审问,怀疑",`kwɛstʃən,,
queue,"n.行列,长队,队列vi.排队,排队等待",,,
quick,"adj.快的,迅速的,敏捷的,急剧的,活泼的adv.快n.活人,生物,要点,本质,核心,感觉敏锐的部位",kwɪk,,
quiet,"adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)",`kwaɪət,,
quite,"adv.相当,完全,十分,彻底",kwaɪt,,
rabbit,"n.兔,野兔",`ræbɪt,,
race,"n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转",res,,
radio,"n.<美>无线电通信,无线电接收装置,无线电广播设备v.用无线电发送",`redɪˌo,,
rain,"n.雨,下雨,雨天vi.下雨vt.使大量落下,大量地给",ren,,
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的",`renˌbo,,
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常",rɛr,,
rat,,,,
reach,"n.延伸,区域,河段,范围,(车子前后轴的)联接杆,横风行驶vt.到达,达到,伸出,影响vi.达到,延伸,伸出手,传开",ritʃ,,
read,"v.读,阅读,理解,学习adj.有学问的n.读取 vbl.read的过去式和过去分词",rid,,
ready,"adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的",`rɛdɪ,,
real,"adj.真的,真实的,不动产的",,,
receive,"vt.收到,接到,接收,遭到,受到,接待,接见",rɪ`siv,,
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的",`rɛlətɪv,,
remember,"vt.回忆起,铭记,纪念vi.记得",rɪ`mɛmbɚ,,
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答",rɪ`plaɪ,,
report,"n.报告,传说,谣言,声誉,名声,爆炸声v.报导,汇报,报到,告发","rɪ`port,_`pɔrt",,
reporter,"n.记者,通讯员",,,
research,"n.研究,调查vi.研究,调查","`risʒtʃ,rɪ`sʒtʃ",,
rest,"n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在",rɛst,,
restaurant,"n.餐馆,饭店","`rɛstərənt,-ˌrɑnt",,
retire,"vi.退休,引退,退却,撤退,就寝",rɪ`taɪr,,
reuse,vt.再使用n.重新使用,ri`juz,,
rich,"adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的",rɪtʃ,,
ride,"v.骑,乘n.骑,乘",raɪd,,
