english,chinese,symbol,phrase,similar
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到",,,
tour,"n.旅行,游历,旅游v.旅行,游历,巡回,漫游",tʊr,,
tower,"n.塔,城堡",`taʊɚ,,
town,"n.市镇,城镇",,,
toy,,,,
traditional,"adj.传统的,惯例的,口传的,传说的",trə`dɪʃənl,,
traffic,"n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换",`træfɪk,,
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼",tren,,
trash,"n.无价值之物,无聊的作品,垃圾,废物",træʃ,,
travel,"v.旅行,传播vi.行进,传播n.旅行",`trævl,,
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东",trit,,
tree,"n.树,木料,树状物vt.赶上树n.[计] 显示驱动器的子目录结构vi.爬上树,逃上树",tri,,
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗",trɪk,,
trip,"n.(短途)旅行,绊倒,摔倒,失足,往返,差错,支吾,旅程vt.使跌倒,使犯错,使失败,挑剔vi.轻快地走,摔倒,绊倒,失足,结巴,远足,犯错,旅行",trɪp,,
trousers,"n.pl.裤子,长裤",`traʊzɚz,,
trunk,"n.干线,树干,躯干,箱子,主干,象鼻vt.把...放入旅行箱内adj.树干的,躯干的,干线的,箱形的",,,
truth,"n.事实,确实,真理,原理",,,
try,"n.尝试v.试,试图,努力,试验,磨难,考验,审问",traɪ,,
turn,"n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)",tʒn,,
turtle,n.海龟,`tʒtl,,
twice,"adv.两次,两倍",twaɪs,,
twin,"n.双胞胎中一人,孪生子adj.双胞胎的,一对的,相似的vi.生双胞胎,成对vt.孪生,使成对",twɪn,,
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型",taɪp,,
ugly,"adj.丑陋的,难看的",`ʌglɪ,,
umbrella,"n.伞,雨伞,庇护",ʌm`brɛlə,,
under," prep.在...之下,在...之内,在...领导下,低于,假借adv.在下",`ʌndɚ,,
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地",`ʌndɚ`graʊnd,,
understand,"v.懂,了解,听说,推定,以为,省略",ˌʌndɚ`stænd,,
until," prep.到...为止,在...以前 conj.到...为止,在...以前,直到...才",ən`tɪl,,
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱",ʌp`sɛt,,
upstairs,"adv.向楼上,在楼上,上楼adj.楼上的",`ʌp`stɛrz,,
upwards,"adv.以上,向上",`ʌpwɚdz,,
use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值",,,
useful,"adj.有用的,有益的,有帮手的",`jusfəl,,
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假","ve`keʃən,və_",,
