english,chinese,symbol,phrase,similar
shower,"n.阵雨,淋浴,(一)阵,(一)大批vt.大量地给与",`ʃaʊɚ,,
shut,"v.关上,闭上,关闭",,,
shy,"adj.怕羞的,畏缩的,害羞的",ʃaɪ,,
sick,"n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬",sɪk,,
side,"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边",saɪd,,
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署",saɪn,,
silk,n.丝绸,sɪlk,,
silly,"adj.愚蠢的,无聊的,失去知觉的,无助的",`sɪlɪ,,
since,"adv.以后,后来,以前 prep.自从,自...以来 conj.自...以后,自...以来,因为,既然",sɪns,,
sing,"v.唱,演唱",sɪŋ,,
sir,"n.先生,阁下,(对爵士或男爵前的尊称)爵士",,,
sit,"v.(使)就座,(使)坐",sɪt,,
size,"n.大小,尺寸,(衣服等)尺码vt.依大小排列 /n.大小/移动",saɪz,,
skate,"n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过",sket,,
ski,n.滑雪橇vi.滑雪,ski,,
skin,"n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮",skɪn,,
skirt,n.裙子v.环绕,skʒt,,
sky,"n.天,天空",skaɪ,,
sleep,"vi.睡,睡觉n.睡眠",slip,,
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片",slaɪd,,
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥",slɪm,,
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议",slɪp,,
slow,"adj.慢的,迟钝的,不活跃的,缓慢的v.(～ down)(使)慢下来,(使)减速,减缓adv.缓慢",,,
small,"adj.小的,少的",smɔl,,
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的",smɑrt,,
smell,"n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味",smɛl,,
smile,vi.(～ at) 微笑n.微笑,smaɪl,,
smoke,"n.烟,烟尘,烟幕v.抽烟,吸烟vi.冒烟",,,
snake,n.蛇v.迂回前进,snek,,
snail,"n.蜗牛,迟钝的人v.捉蜗牛,缓慢移动",snel,,
snack,"n.小吃,快餐,一份v.吃快餐(小吃)",snæk,,
snow,n.雪vi.下雪,,,
so," conj.因而,所以,那么,这样看来adv.[表示程度] 如此,那么,非常,很,[表示方式] 这样,那样,如此,因此 [域] Somalia ,索马里",,,
soap,"n.肥皂;Simple Object Access Protocol,简单对象访问协议",,,
sock,"n.短袜,鞋内衬底,轻软鞋,一击,零食vt.给...穿袜,重击,猛投,请...吃零食vi.爱吃零食adj.非常成功的adv.正着地,不偏不倚地",sɑk,,
sofa,n.沙发,`sofə,,
