english,chinese,symbol,phrase,similar
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件",sɔft,,
some,"adj.一些,少许,若干,有些,大约,相当的 pron.一些,若干,有些,某些",,,
someday,adv.有一天,`sʌmˌde,,
someone," pron.有人,某人","`sʌmˌwʌn,_wən",,
something," pron.某事,某物adj.有点象,大约",`sʌmθɪŋ,,
sometime,"adv.在某一时候,曾经,有一天",`sʌmˌtaɪm,,
sometimes,"adv.不时,有时",`sʌmˌtaɪmz,,
somewhere,"adv.某处,在某处","`sʌmˌhwɛr,-ˌwɛr",,
song,"n.歌,歌曲",sɔŋ,,
soon,"adv.立刻,不久,快,早,宁愿",,,
sorry,"adj.遗憾的,对不起的,可怜的,抱歉的","`sɔrɪ,`sɑrɪ",,
sound,"n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探",,,
soup,,,,
sour,"adj.酸的,发酵的,酸腐的,酸味的",saʊr,,
space,"n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开",spes,,
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)",spik,,
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的",`spɛʃəl,,
speech,"n.演说,讲话 语音",spitʃ,,
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字",spɛl,,
spend,"v.花费,消耗,用尽vt.度过,消磨",spɛnd,,
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的",`spaɪsɪ,,
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐",spɪt,,
sport,"n.运动,[pl.] 运动会","sport,spɔrt",,
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现",spɑt,,
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布",sprɛd,,
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发",sprɪŋ,,
square,"n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算",skwɛr,,
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行",stedʒ,,
stair,"n.(阶梯的某)一级,楼梯",stɛr,,
stamp,"n.邮票,印花,印,图章,标志,印记,跺脚,顿足v.跺(脚),顿(足),压印",stæmp,,
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受",stænd,,
star,"n.星,恒星,明星,名角",stɑr,,
start,"n.动身,出发点,开始,惊起,惊跳,赛跑的先跑权,优先地位v.出发,起程,开始,着手,惊动,惊起,起动,发动  削减战略武器条约START(Strategic Arms Reduction Treaty)",stɑrt,,
station,"n.位置,岗位,地位,身份,...局,...站vt.驻扎,配置",`steʃən,,
stay,"n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)",ste,,
