english,chinese,symbol,phrase,similar
steal,"v.偷,窃取,偷窃,偷盗",stil,,
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范",stɛp,,
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳",stɪk,,
still,"n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然 静止画面,静态图片",stɪl,,
stir,"n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行",stʒ,,
stocking,n.长袜,`stɑkɪŋ,,
stomach,"n.胃,胃口,胃部v.容忍",`stʌmək,,
stomachache,"n.胃痛,肚子痛",,,
stone,"n.石,石头,宝石",,,
stop,"n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒",stɑp,,
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备","stor,stɔr",,
story,"n.故事,小说,传说,事迹,经历,假话,谎话","`storɪ,`stɔrɪ",,
storybook,"n. 故事书,小说adj. 像童话故事那样圆满幸福的",,,
straight,"adj.直的,诚实的,正直的,率直的,整齐的adv.直,直接,一直",stret,,
strange,"adj.陌生的,生疏的,前所未知的,奇怪的,奇异的,不惯的",strendʒ,,
street,"n.街,街道",strit,,
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的",strɪkt,,
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的",strɔŋ,,
student,"n.(大小学校的)学生,研究者,学者",,,
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图",`stʌdɪ,,
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画",staɪl,,
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属",`sʌbdʒɪkt,,
success,"n.成功,成就,胜利,发迹,兴旺",sək`sɛs,,
such,"adj.这样的,这种,某一 pron.这样的人(们)或物",,,
summer,"n.夏季vi.避暑,过夏天adj.夏季的,在夏季的",`sʌmɚ,,
sun,"n.太阳,阳光,恒星vt.晒n.(Sun) 星期天(=Sunday) 美国Sun公司,主要生产SUN系列工作站和网络产品,是JAVA语言的创始者",,,
sunglasses,,,,
sunny,"adj.阳光充足的,照耀的,快乐的",`sʌnɪ,,
sunrise,n.日出,`sʌnˌraɪz,,
supermarket,n.超级市场,`supɚˌmɑrkɪt,,
supper,n.晚餐,`sʌpɚ,,
sure,"adj.对....有把握,确信某事,稳当的,可靠的adv.的确,当然",ʃʊr,,
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪",sʒf,,
surprice,,,,
swan,"n.天鹅,杰出的诗人、歌手,天鹅座","swɑn,swɔn",,
sweater,"n.厚运动衫,毛线衫",`swɛtɚ,,
