english,chinese,symbol,phrase,similar
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数",dɪ`gri,to some degree,
delicious,adj.美味的,dɪ`lɪʃəs,,
dentist,n.牙科医生,`dɛntɪst,,
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差",`dɛzɚt,,
diary,n.日记,`daɪərɪ,keep a diary,
dictionary,"n.字典,词典",`dɪkʃənˌɛrɪ,,
die,"vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模",daɪ,,
different,adj.不同的,"`dɪfrənt,_fərənt",,
difficult,"adj.困难的,艰难的,(人)难相处的","`dɪfəˌkʌlt,_kəlt",,
dig,"v.掘,挖,钻研,搜集",dɪg,,
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址","də`rɛkʃən,daɪ_",,
dirty,"adj.肮脏的,卑鄙的,下流的,暴风雨的,恶劣的(天气)vt.弄脏vi.变脏",`dʒtɪ,,
dish,"n.盘,碟,盘装菜v.提出 碟形卫星天线",dɪʃ,,
do,"v.做,实行,尽力,给予,可用,制作,算出,解答 [域] Dominican Republic ,多米尼加共和国",,,
dog,"n.狗,犬,类似犬的动物,卑鄙的人,小人,坏蛋vt.跟踪,尾随",dɔg,,
doll,"n.洋娃娃,玩偶,美丽但无头脑的女子,<俚>美男子","dɑl,dɔl",,
dollar,"n.元,美元",`dɑlɚ,,
door,"n.门,通道,家,户","dor,dɔr",,
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力",,,
dragon,"n.龙,凶暴的人,严厉而有警觉性的女人",`drægən,,
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳",drɔ,,
dream,"v.做梦,梦见,梦想,想到n.梦,梦想",drim,,
dress,"n.女服,童装,服装,衣服v.(给...)穿衣",drɛs,,
drink,"n.饮料,酒,酗酒,一口(或一些)饮料v.喝,喝酒,(植物、土壤等的)吸水,举杯庆贺",drɪŋk,,
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器",draɪv,,
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌",drɑp,,
dry,"adj.干的,干燥的,口渴的vt.(使)干燥,(使)变干v.干燥",draɪ,,
dust,"n.灰尘,尘土,尘埃vt.掸掉...上的灰尘,撒糖于糕上",,,
during," prep.在...的期间,在...的时候","`dʊrɪŋ,`djʊrɪŋ",,
duty,"n.义务,责任,职责,职务,税","`dutɪ,`dju_",,
each,"adj.各自的,每个的,每一 pron.各,各自,每个adv.每个",itʃ,,
early,"adj.早的,早熟的,及早的,早先的,早期的adv.早,在初期",`ʒlɪ,,
earth,"n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内",ʒθ,,
easy,"adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息",`izɪ,,
eat,"v.吃,腐蚀",it,,
egg,"n.蛋,鸡蛋,卵v.怂恿,怂恿",ɛg,,
