english,chinese,symbol,phrase,similar
because, conj.adv.因为,"bɪ`kɔz,bə_",,
become,"vi.变成,成为,变得vt.适合,相称",bɪ`kʌm,,
bed,"n.床,基础,路基,河底,海底,一堆,一层vt.安置,嵌入,使睡,栽种vi.上床,分层  教育学士 BEd(Bachelor of Education)",bɛd,,
bedroom,n.卧室,"`bɛdˌrum,_rʊm",,
beef,n.牛肉,bif,,
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可","bɪ`for,bə_,_`fɔr",,
begin,"v.开始,首先",bɪ`gɪn,,
behind,adv.在后地 prep.在...之后,bɪ`haɪnd,,
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想","bə`liv,bɪ_",,
bell,"n.铃,钟",bɛl,,
beside," prep.在旁边,和...比较",bɪ`saɪd,,
bet,"n.赌,打赌v.赌,赌钱",bɛt,,
between," prep.在...之间,连接...,由...协力合作",bə`twin,,
big,"adj.大的,重要的,量大的,重要的adv.夸大地,顺利",bɪg,,
bike,"n.脚踏车,自行车",baɪk,,
bird,"n.鸟,<俚>人vi.在野外观察或鉴别鸟类",bʒd,,
birthday,n.生日,`bʒθˌde,,
bite,咬,,,
blackboard,n.黑板,"`blækˌbord,-ˌbɔrd",,
blanket,n.毯子vt.覆盖,`blæŋkɪt,,
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力",blaɪnd,,
blood,"n.血,血液,血统v.使(某人)先取得经验",,,
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气",,,
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)","bord,bɔrd",,
boat,"n.小船,艇v.划船",,,
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告",,,
bored,"adj.无聊的,无趣的,烦人的,","bord,bɔrd",,
boring,n.钻(孔)adj.令人厌烦的,"`borɪŋ,`bɔr_",,
born,"adj.天生的,原本,天生就...的 vbl.出生",bɔrn,,
borrow,"v.借,借入,借用","`bɔro,`bɑro",,
both,"adj.两者,双方的 pron.双方,两者",,,
bottle,n.瓶子vt.用瓶装,`bɑtl,,
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础",`bɑtəm,,
bowl,"n.碗,碗状物,木球v.滚,(板球)投球",,,
box,"n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击",bɑks,,
boy,"n.男孩,儿子,孩子气的人,男仆",bɔɪ,,
