english,chinese,symbol,phrase,similar
of," prep....的,由...制成的,离,关于,对于",,,
office,"n.办公室,办事处,事务所,<英>政府机关,部,公职,职责,帮助","`ɔfɪs,`ɑfɪs",,
officer,"n.政府官员,军官,警官,船长vt.指挥",`ɔfəsɚ,,
oil,"n.油,石油,油类vt.给(机器等)加油,上油,涂油",ɔɪl,,
old,"adj.年老的,老的,...岁的,陈旧的,古老的",,,
on," prep.在...之上,依附于,临近,靠近,向,在...时候,关于,涉及adv.在上,向前,行动中,作用中","ɑn,ɔn",,
once,"n.adv.一次,从前,曾经 conj.一旦",,,
only,"adj.唯一的,单独的,最好的,最合适的adv.仅仅,只不过 conj.但是,可是",`onlɪ,,
open,"n.公开,户外,空旷adj.开着的,敞开的,(车等)无篷的,开阔的,营业着的,公开的,坦率的,未决定的vt.打开,公开,开放vi.展开,开始,展现",`opən,,
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物",`ɑpəzɪt,,
or," conj.或,或者,还是 [军] Operational Requirement,作战需求 [军] Operations Research,运筹学研究",,,
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制",`ɔrdɚ,,
other,"adj.其他的,另外的,从前的 pron.其他的,他人,另外一个adv.另外地,不同地",`ʌðɚ,,
out,"adj.外面的,下台的,出局的adv.在外,出声地,显露出来地,明显地,从头至尾地n.外面,外出,外观vt.赶出,击倒,使退场vi.外出,暴露 prep.通过",,,
outer,"adj.外部的,外面的,远离中心的n.(射击)环外命中",`aʊtɚ,,
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外",`aʊt`saɪd,,
over,"adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西",`ovɚ,,
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认",,,
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包",pæk,,
packet,"n.小包裹,小捆;v.包装",`pækɪt,,
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦",pen,,
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述",pent,,
pair,"n.一对,一双",pɛr,,
palace,"n.宫,宫殿",`pælɪs,,
panda,"n.熊猫,黑白相间的熊类",`pændə,,
pants,"n.裤子,短裤",pænts,,
paper,"n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的",`pepɚ,,
pardon,"vt.原谅,宽恕n.原谅,宽恕",`pɑrdn,,
parent,"n.[pl.] 双亲,父亲(或母亲)",`pɛrənt,,
park,"n.公园,停车场,炮场vt.停放(汽车等)",pɑrk,,
parrot,"n.鹦鹉,学舌者,机械模仿别人的人vt.学舌",`pærət,,
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的",pɑrt,,
party,"n.党,政党,随行人员,[律]当事人,社交会",`pɑrtɪ,,
pass,"n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌",pæs,,
passport,n.护照,"`pæsˌport,-ˌpɔrt",,
