english,chinese,symbol,phrase,similar
plenty,"n.丰富,大量",`plɛntɪ,,
poet,n.诗人,`po.ɪt,,
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明",pɔɪnt,,
police,"n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的",pə`lis,,
polite,"adj.有礼貌的,客气的,有教养的,文雅的",pə`laɪt,,
pond,n.池塘v.筑成池塘,pɑnd,,
pool,"n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营",,,
poor,"adj.贫穷的,可怜的,乏味的,卑鄙的",pʊr,,
pop,"n.取出,砰然声,枪击,流行乐曲;adj.流行的,热门的,通俗的;vt.开枪打,抛出,取出,突然伸出,突然行动;adv.突然,砰地;vi.发出爆裂声,爆开,射击,突然出现,瞪大;n.<口>汽水;Post Office Protocol,电子邮件协议",pɑp,,
popcorn,n.爆米花,`pɑpˌkɔrn,,
popular,"adj.通俗的,流行的,受欢迎的",`pɑpjəlɚ,,
post,,,,
postcard,"n.明信片,风景明信片",`postˌkɑrd,,
postman,n.邮差,`postmən,,
pot,"n.罐,壶v.罐装",pɑt,,
potato,n.马铃薯,pə`teto,,
pour,"v.灌注,倾泻,涌入,流,倾盆大雨","por,pɔr,pʊr",,
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业",`præktɪs,,
prepare,"v.准备,预备,有能力而且愿意",prɪ`pɛr,,
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准",`prɛznt,,
president,"n.总统,会长,校长,行长",`prɛzədənt,,
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压",prɛs,,
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的",`prɪtɪ,,
price,"n.价格,价钱,代价vt.给...定价,问...的价格,标明价格",praɪs,,
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的","`praɪˌmɛrɪ,_mərɪ",,
prince,n.王子,prɪns,,
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印",prɪnt,,
prize,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开",praɪz,,
problem,"n.问题,难题",`prɑbləm,,
programme,"n.v.=program 程序,编程","`progræm,_grəm",,
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出","`prɑdʒɛkt,_dʒɪkt",,
protect,vt.保护 /n.保护/解除,prə`tɛkt,,
proud,"adj.自豪的,得意的,骄傲的,妄自尊大的",,,
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的",`pʌblɪk,,
pudding,"n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)",`pʊdɪŋ,,
pull,"v.拉,拖,拔n.拉,拖,拉力,牵引力",,,
