english,chinese,symbol,phrase,similar
sweatpants,,,,
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过",swip,,
sweet,"adj.甜的,可受的,美好的,芳香的n.糖果",swit,,
swim,"n.游泳,漂浮,潮流,眼花adj.游泳时穿戴的vi.游泳,游,漂浮,旋转,覆盖,充溢,眩晕,浸vt.游过,使浮起adj.游泳时穿戴的",swɪm,,
swimming,"n.游水,目眩adj.游泳(者)的,游泳(者)用的,会游泳的",,,
T-shirt,,,,
table,"n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表",`tebl,,
tail,"n.尾部,尾巴,尾状物,后部,踪迹,排的长队,限定继承权;adj.在后面的,限定继承的,尾部的,后面来的,后部的;vt.为...装尾,附于其后,尾随,跟踪,监视,使架住;vi.成为散乱的行列,跟踪,嵌入,船尾搁浅",tel,,
take,"v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量",tek,,
talk,"v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话",tɔk,,
tall,"adj.高的,长的,夸大的adv.<俚> 夸大地",tɔl,,
tape,"n.带子,带,录音带,磁带vt.录音",tep,,
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉",test,,
tasty,"adj.好吃的,可口的n.好吃的东西,吸引人的东西",`testɪ,,
taxi,n.出租汽车v.乘坐出租汽车,`tæksɪ,,
tea,"n.茶,茶树,茶叶,茶点vt.给...沏茶vi.喝茶,进茶点",ti,,
teach,"v.讲授,教授",titʃ,,
teacher,n.教师,`titʃɚ,,
team,"n.队,组",tim,,
teapot,n.茶壶,,,
telephone,"n.电话,电话机v.打电话",`tɛləˌfon,,
television,"n.电视,电视机,电机学,电视广播事业",`tɛləˌvɪʒən,,
tell,"vt.告诉,说,吩咐,断定,知道vi.讲述,泄密,告发,表明,作证n.<方>讲的事,传闻",tɛl,,
temperature,n.温度,`tɛmprətʃɚ,,
temple,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角",`tɛmpl,,
tennis,"n.网球运动adj.网球的,用于网球运动的vi.打网球",`tɛnɪs,,
tent,n.帐篷,tɛnt,,
term,"n.学期,期限,期间,条款,条件,术语",tʒm,,
terrible,"adj.很糟的,极坏的,可怕的,骇人的",`tɛrəbl,,
test,"n.测试,试验,检验v.测试,试验,检验",tɛst,,
than, conj.比 prep.与...相比较,,,
thank,"vt.感谢,用于表示强制的要求,用将来时",θæŋk,,
thanks,n.感谢;int.谢谢,,,
that,"adj.那,那个 pron.那,那个 conj.引导从句",ðæt,,
the, art.那,,,
