english,chinese,symbol,phrase,similar
hair,"n.头发,毛发,毛状物,绒毛,些微",hɛr,,
half,"n.一半,半时,(球赛)半场,半学年adj.一半的,不完全的,半途的adv.一半地,部分地,相当的",hæf,,
hall,"n.会堂,礼堂,大厅,走廊,门厅",hɔl,,
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给",hænd,,
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的",`hænsəm,,
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决",hæŋ,,
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现",`hæpən,,
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的",`hæpɪ,,
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地",hɑrd,,
hardworking,"adj.苦干的,不辞辛劳的",,,
harm,"vt.伤害,损害n.伤害,损害",hɑrm,,
hate,"vt.憎恨,恨,不愿,不喜欢n.憎恶,憎恨v.憎恨,讨厌,不愿",het,,
have,"vt.有,持有,拿,从事(某事) aux.已经",hæv,,
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的",hɛd,,
healthy,"adj.健康的,健壮的,有益于健康的",`hɛlθɪ,,
hear,"vt.听到,听说,听取,审理,允许vi.听见,听到",hɪr,,
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心",hɑrt,,
heat,,,,
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色",`hɛvɪ,,
help,"n.帮忙,补救办法,助手,治疗,<美>佣工vt.帮助,助长,接济,治疗,款待vi.有用,救命,招待 [计] 显示命令格式的简短概述",hɛlp,,
helpful,"adj.有帮助的,有用的,有益的",`hɛlpfəl,,
here,"adv.在这里,此时,这时,[宗]在尘世间n.这里",hɪr,,
hero,"n.英雄,男主角,男主人公","`hɪro,`hiro",,
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰",haɪd,,
high,"n.高度,高处adj.高的,高原的,高等的,高音的,傲慢的,高尚的,昂贵的,严重的adv.高度地,奢侈地,高价地",haɪ,,
hike,"v.远足,飞起,步行n.远足,增加",haɪk,,
hill,"n.小山,丘陵,斜坡,山岗",hɪl,,
history,"n.历史,历史学,过去的事(的记载),来历,历史记录","`hɪstrɪ,`hɪstərɪ",,
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上",hɪt,,
hobby,n.业余爱好,`hɑbɪ,,
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留",,,
hole,"n.洞,孔,突破口v.凿洞",,,
holiday,"n.假日,节日,假期",`hɑləˌde,,
home,"n.家,住宅,家乡,本国,产地,避难所adj.家庭的,国内的,有效的adv.在家,回家,深入地,在本国",,,
homework,"n.家庭作业,副业",`homˌwʒk,,
honest,"adj.诚实的,正直的",`ɑnɪst,,
