english,chinese,symbol,phrase,similar
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符",dʒɔɪn,,
joke,"n.笑话,玩笑v.(和...)开玩笑",,,
joy,"n.欢乐,喜悦,快乐,乐事,乐趣v.高兴 Joy 乔伊(女子名)",dʒɔɪ,,
jump,"n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨",,,
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过",,,
keep,"n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断",kip,,
key,"n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调",ki,,
kick,v.踢n.踢,kɪk,,
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗",kɪd,,
kill,"v.杀死,毁掉,杀伤",kɪl,,
kind,"n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的",kaɪnd,,
king,"n.国王,君主,(部落的)首领,纸牌中的Kvt.立...为王vi.做国王,统治",,,
kiss,"n.吻,(风,浪等)拂vt.吻,轻拂vi.接吻",kɪs,,
kitchen,"n.厨房,炊具,炊事人员","`kɪtʃɪn,_ən",,
kite,"n.风筝,(微风时使用的)高而轻的帆,<俚>[商]空头支票,试探性行动vi.象风筝一样飞,轻快地移动,使用空头支票vt.使上升,骗钱",kaɪt,,
knock,"v.敲,敲打,敲击,(使)碰撞n.敲,击,敲打",nɑk,,
know,"v.知道,了解,认识,熟悉,认出,分辨,确信",,,
knowledge,"n.知识,学问,认识,知道,<古>学科",`nɑlɪdʒ,,
lady,"n.女士,夫人,小姐",`ledɪ,,
lake,,,,
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于",lænd,,
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家",`læŋgwɪdʒ,,
large,"adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大",lɑrdʒ,,
last,"adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头",læst,,
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期",let,,
laugh,"vi.笑,讥笑n.笑,笑声",læf,,
lazy,"adj.懒惰的,懒散的",`lezɪ,,
leader,"n.领导者,社论n.[计]前导字符n.[机]导杆",`lidɚ,,
leaf,"n.叶,树叶,(书的)一张(两叶),页vi.生叶,翻书页vt.翻...的页",lif,,
learn,"vi.学习,听到,获悉vt.学习,学会,认识到",lʒn,,
leave,"n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身",liv,,
lesson,"n.功课,(一节)课,[pl.] 课程,教训",`lɛsn,,
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍",lɛt,,
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母",`lɛtɚ,,
library,"n.图书馆,藏书室,库",`laɪˌbrɛrɪ,,
lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言",laɪ,,
