english,chinese,symbol,phrase,similar
hope,"n.希望,信心v.希望,盼望,期待,信赖",,,
horn,"n.(牛、羊等的)角,喇叭,触角v.装角",hɔrn,,
hospital,n.医院,`hɑspɪtl,,
hotel,"n.旅馆,客栈,<俚>监狱",ho`tɛl,,
hour,"n.小时,钟头,...点钟,课时,(一段)时间",aʊr,,
house,"n.房子,住宅,库房,机构,家庭,家族,议院,剧场vt.给...房子住,收藏,覆盖vi.住,躲藏(up)",,,
housewife,"n.主妇,家庭主妇,针线盒",,,
housework,"n.家务,劳动,家务事",,,
hug,,,,
huge,"adj.巨大的,极大的,无限的",,,
hungry,"adj.饥饿的,渴望的,荒年的,不毛的",`hʌŋgrɪ,,
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎",,,
hurry,"v.(使)赶紧,(使)匆忙,加速n.匆忙,仓促",`hʒɪ,,
hurt,"v.刺痛,伤害,(使)痛心,(使)伤感情,危害,损害,受伤n.伤痛,伤害",hʒt,,
ice,"n.冰冻食品vt.冰冻,覆以冰vi.结冰 [军] Intenal Combustion Engine,内燃机",aɪs,,
ice-cream,,,,
idea,"n.想法,念头,意见,主意,思想,观念,概念","aɪ`diə,aɪ`dɪə",,
if," conj.(表条件)如果,(表假设)要是,是否,即使n.条件,设想",ɪf,,
ill,"adj.有病的,坏的,恶意的,生病",ɪl,,
important,"adj.重要的,重大的,有权力的,有地位的",ɪm`pɔrtnt,,
in," prep.在...之内(上),在...期间,从事于,符合,穿着;adv.进入,朝里,在家,已到达(来临);adj.在里面的,执政的;n.执政者,入口;India,印度;In,元素铟(indium);Intelligent Network,智能网络",ɪn,,
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的",`ɪnsɛkt,,
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内",`ɪn`saɪd,,
interesting,"adj.有趣味的,引起好奇(或注意)的","`ɪntərɪstɪŋ,`ɪntrɪstɪŋ",,
internet," 因特网,国际互联网络,网际网",,,
into," prep.到...里,进入到...之内,成为...状况,深入...之中",,,
introduce,"vt.介绍,传入,引进,提出","ˌɪntrə`dus,_`djus",,
invent,"vt.发明,创造v.发明",ɪn`vɛnt,,
invention,"n.发明,创造",ɪn`vɛnʃən,,
inventor,n.发明家,ɪn`vɛntɚ,,
invite,"vt.邀请,引起n.邀请",ɪn`vaɪt,,
island,"n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立",`aɪlənd,,
job,"n.工作,零活,<口>职位,事情,<圣经>约伯,极有耐心的人vi.做零工,打杂,做股票经纪,假公济私vt.代客买卖(股票,货物等),批发,承包,欺骗",dʒɑb,,
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑",dʒɑg,,
